[0329/020825.613:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0330/001949.792:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0330/004642.448:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0330/182946.731:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0403/020602.363:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0405/022100.854:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0405/163500.525:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0406/020837.298:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0407/152136.962:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0407/205706.035:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0409/173851.100:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0410/191601.579:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0410/224740.458:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0412/004521.033:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
